name,website,domain,phone,country,city,state,industry,employee_count,founded_year,linkedin_url,facebook_url,twitter_url,description,quality_score
Synthflow AI,http://www.synthflow.ai,synthflow.ai,+49 1573 7656452,Germany,Berlin,Berlin,information technology & services,59,2023,http://www.linkedin.com/company/synthflowai,https://www.facebook.com/profile.php,,,100
Ocean Clicks Outsourcing Pvt Ltd,http://www.ocean-clicks.com,ocean-clicks.com,+1 631-212-1341,United States,Miami,Florida,outsourcing/offshoring,40,2011,http://www.linkedin.com/company/ocean-clicks-outsourcing-pvt-ltd,,,,100
Agency of Valor,http://www.agencyofvalor.com,agencyofvalor.com,,United States,Dallas,Texas,insurance,18,,http://www.linkedin.com/company/agency-of-valor,,,,100
Callnovo Contact Center®,http://www.callnovo.com,callnovo.com,+86 170 7685 3155,Canada,Toronto,Ontario,outsourcing/offshoring,240,2004,http://www.linkedin.com/company/callnovo-contact-center,https://facebook.com/callnovo,https://twitter.com/callnovoinfo,,100
Johnathan Kimbrough Consulting LLC,http://www.johnathankimbrough.com,johnathankimbrough.com,+1 910-257-9799,United States,Atlanta,Georgia,executive office,21,2020,http://www.linkedin.com/company/johnathankimbroughconsulting,,,,100
Redial BPO,http://www.redialbpo.com,redialbpo.com,+1 858-465-7872,United States,San Diego,California,outsourcing/offshoring,530,2017,http://www.linkedin.com/company/redial-bpo,https://facebook.com/redialcallcenter,https://twitter.com/RedialB,,100
SDR Nation,http://www.sdrnation.com,sdrnation.com,,United States,Chicago,Illinois,professional training & coaching,42,2020,http://www.linkedin.com/company/sdr-nation,,,,100
Call Center Pros,http://www.callcenterpros.com,callcenterpros.com,+1 800-789-2255,United States,Boca Raton,Florida,outsourcing/offshoring,520,2012,http://www.linkedin.com/company/call-center-pros,https://facebook.com/CallCenterPros,https://twitter.com/Callcenter_Pros,,100
Turn2Partners,http://www.turn2partners.com,turn2partners.com,+1 571-302-4999,United States,Herndon,Virginia,staffing & recruiting,68,2017,http://www.linkedin.com/company/turn2partners,https://facebook.com/turn2partners,,,100
OnBrand24,http://www.onbrand24.com,onbrand24.com,+1 855-662-7263,United States,Iowa City,Iowa,outsourcing/offshoring,380,1980,http://www.linkedin.com/company/onbrand24,https://www.facebook.com/OnBrand24/,https://twitter.com/OnBrand24,,100
Aunzton Communications UK Ltd,http://www.aunzton.com,aunzton.com,,United Kingdom,Cardiff,Wales,outsourcing/offshoring,13,2001,http://www.linkedin.com/company/aunzton-communications-uk-ltd,,,,100
Turn2Partners,http://www.turn2partners.com,turn2partners.com,+1 571-302-4999,United States,Herndon,Virginia,staffing & recruiting,68,2017,http://www.linkedin.com/company/turn2partners,https://facebook.com/turn2partners,,,100
HIKINEX,http://www.hikinex.com,hikinex.com,+1 888-262-8275,United States,San Francisco,California,outsourcing/offshoring,290,2016,http://www.linkedin.com/company/cxshikinex,https://www.facebook.com/hikinex/,https://twitter.com/hikinex,,100
Quantified Commerce,http://www.quantifiedcommerce.com,quantifiedcommerce.com,,United States,New York,New York,marketing & advertising,40,2016,http://www.linkedin.com/company/quantifiedcommerce,https://www.facebook.com/quantifiedmedia,,,100
CallRail,http://www.callrail.com,callrail.com,+1 888-907-4718,United States,Atlanta,Georgia,information technology & services,310,2011,http://www.linkedin.com/company/callrail,https://facebook.com/CallRail/,http://twitter.com/callrail,,100
Cyber City Teleservices,http://www.cctll.com,cctll.com,+1 800-254-4550,United States,Hackensack,New Jersey,outsourcing/offshoring,230,1999,http://www.linkedin.com/company/cyber-city-teleservices,,https://twitter.com/cctll,,100
Digital Executive,http://www.digitalxecutive.com,digitalxecutive.com,,United States,Austin,Texas,outsourcing/offshoring,34,,http://www.linkedin.com/company/digital-xecutive,,,,100
Outsource Consultants,http://www.outsource-consultants.com,outsource-consultants.com,+1 888-766-4482,United States,Minneapolis,Minnesota,outsourcing/offshoring,39,2013,http://www.linkedin.com/company/outsource-consultants-llc,https://facebook.com/OutsourceConsultants,https://twitter.com/coreyKot,,100
Everything To Gain,http://www.everythingtogain.com,everythingtogain.com,,United States,Austin,Texas,management consulting,48,2023,http://www.linkedin.com/company/everythingtogain,https://facebook.com/everythingtogain,,,100
EMERGE,http://www.emergeprofessional.com,emergeprofessional.com,+1 720-409-3867,United States,Denver,Colorado,staffing & recruiting,52,2016,http://www.linkedin.com/company/emergeprofessional,https://facebook.com/emergepros,https://twitter.com/EmergePros,,100
"Gabtech Global, LLC",http://www.gabtechglobal.com,gabtechglobal.com,,United States,Glendale,Arizona,outsourcing/offshoring,120,2017,http://www.linkedin.com/company/gabtechglobal,https://www.facebook.com/gabtechglobal/,,,100
tunisietravail,http://www.tunisietravail.net,tunisietravail.net,,United States,,Tennessee,information services,42,2009,http://www.linkedin.com/company/tunisietravail,https://www.facebook.com/tunisietravail/,https://www.twitter.com/tunisietravail/,,100
Paramount,http://www.hireparamount.com,hireparamount.com,+1 404-760-4800,United States,Atlanta,Georgia,staffing & recruiting,150,1998,http://www.linkedin.com/company/hireparamount,https://www.facebook.com/ParamountATL/,,,100
APEX Call Centers,http://www.apexcallcenters.com,apexcallcenters.com,+1 888-350-1433,United States,Fort Lauderdale,Florida,outsourcing/offshoring,98,2017,http://www.linkedin.com/company/apexcallcenter,,,,100
Affinitiv,http://www.affinitiv.com,affinitiv.com,+1 847-955-9740,United States,Buffalo Grove,Illinois,information technology & services,600,2016,http://www.linkedin.com/company/affinitiv-inc,https://facebook.com/affinitiv/,https://twitter.com/affinitiv_mktg,,100
PolyAI,http://www.poly.ai,poly.ai,,United States,San Francisco,California,information technology & services,280,2017,http://www.linkedin.com/company/polyai,https://facebook.com/PolyAIVoice,https://twitter.com/polyaivoice,,100
Rocket Connections,http://www.rockconnections.com,rockconnections.com,+1 313-338-1000,United States,Detroit,Michigan,telecommunications,270,2012,http://www.linkedin.com/company/rocketconnections,https://facebook.com/RockConnections,https://twitter.com/Rock_Conn,,100
A-Line Staffing Solutions,http://www.alinestaffing.com,alinestaffing.com,+1 877-782-3334,United States,Utica,Michigan,staffing & recruiting,250,2004,http://www.linkedin.com/company/a-line-staffing-solutions,https://www.facebook.com/ALineStaffing,https://twitter.com/AlineStaffing,,100
Vocalcom,http://www.vocalcom.com,vocalcom.com,+33 1 55 37 30 50,France,Courbevoie,Ile-de-France,information technology & services,240,1995,http://www.linkedin.com/company/vocalcom,https://www.facebook.com/Vocalcom,https://twitter.com/Vocalcom,,100
TELEFONO PERMANENTE,http://www.telefonopermanente.com,telefonopermanente.com,+34 934 05 35 35,Spain,Barcelona,Catalonia,telecommunications,95,1976,http://www.linkedin.com/company/telefono-permanente,https://facebook.com/telefonopermanente,https://twitter.com/TPermanente,,100
Discovery Resort Marketing,http://www.discoveryresortmarketing.com,discoveryresortmarketing.com,+1 877-904-1721,United States,Orlando,Florida,marketing & advertising,13,2010,http://www.linkedin.com/company/discovery-resort-marketing,https://www.facebook.com/GetawayDealz/,,,100
Observe.AI,http://www.observe.ai,observe.ai,+1 628-238-5683,United States,Redwood City,California,information technology & services,420,2017,http://www.linkedin.com/company/observeai,https://facebook.com/observeai/,https://twitter.com/observeAI,,100
Total Credit Recovery Limited,http://www.tcr.ca,tcr.ca,+1 416-774-4000,Canada,Toronto,Ontario,financial services,600,1980,http://www.linkedin.com/company/total-credit-recovery-limited,,,,100
Level AI,http://www.thelevel.ai,thelevel.ai,+1 716-588-4326,United States,Mountain View,California,information technology & services,200,2018,http://www.linkedin.com/company/level-ai,https://www.facebook.com/thelevelai,https://twitter.com/TheLevelAI,,100
North Bridge Staffing Group,http://www.northbridgestaffing.com,northbridgestaffing.com,+1 312-863-3010,United States,Chicago,Illinois,staffing & recruiting,31,2002,http://www.linkedin.com/company/north-bridge-staffing-group,https://www.facebook.com/NorthBridgeStaffing,https://twitter.com/NBStaffing,,100
Generis Tek Inc,http://www.generistek.com,generistek.com,+1 630-576-1900,United States,Bloomingdale,Illinois,information technology & services,43,2015,http://www.linkedin.com/company/generis-tek-inc,https://www.facebook.com/GenerisTek,,,100
RES-VA,http://www.res-va.com,res-va.com,,United States,Columbus,Ohio,facilities services,79,,http://www.linkedin.com/company/real-estate-solutions-res,,,,100
Eplanet Global,http://www.eplanetglobal.com,eplanetglobal.com,+1 844-779-1907,United States,Salt Lake City,Utah,outsourcing/offshoring,310,2003,http://www.linkedin.com/company/eplanetglobal,,,,100
Balto,http://www.balto.ai,balto.ai,+1 917-373-0808,United States,St. Louis,Missouri,information technology & services,150,2017,http://www.linkedin.com/company/baltosoftware,https://facebook.com/baltosoftware/,https://twitter.com/balto_ai,,100
Alphanumeric Systems,http://www.alphanumeric.com,alphanumeric.com,+1 919-781-7575,United States,Raleigh,North Carolina,pharmaceuticals,470,1979,http://www.linkedin.com/company/alphanumeric-systems,https://www.facebook.com/AlphanumericSystems/,https://twitter.com/Alphanumeric,,100
Protocol Marketing,http://www.protocolmarketing.com,protocolmarketing.com,,United States,Cheshire,Connecticut,marketing & advertising,39,1988,http://www.linkedin.com/company/protocol-marketing,,,,100
Chinese Call Center,http://www.chinesecallcenter.com,chinesecallcenter.com,,United States,San Carlos,California,outsourcing/offshoring,32,2006,http://www.linkedin.com/company/chinese-call-center,,,,100
Daffodil Software,http://www.linklyhq.com,linklyhq.com,,United States,Grandville,Michigan,information technology & services,730,1999,http://www.linkedin.com/company/daffodil-software-ltd-,https://www.facebook.com/linklyhq/,https://twitter.com/LinklyHQ,,100
Nooks,http://www.nooks.ai,nooks.ai,+1 650-513-0514,United States,San Francisco,California,information technology & services,510,2020,http://www.linkedin.com/company/nooksapp,,https://twitter.com/JoinNooks,,100
Wollborg Michelson Recruiting,http://www.wmjobs.com,wmjobs.com,+1 415-391-7600,United States,San Ramon,California,staffing & recruiting,110,1973,http://www.linkedin.com/company/wollborgmichelson,https://facebook.com/wollborgmichelson,https://twitter.com/Wollborg_Jobs,,100
Call Centers Now,http://www.callcentersnow.com,callcentersnow.com,+1 844-993-3202,United States,Los Angeles,California,marketing & advertising,50,2015,http://www.linkedin.com/company/call-centers-now,https://facebook.com/callcentersnow,https://twitter.com/callcentersnow,,100
Sales Impact Academy,http://www.salesimpact.io,salesimpact.io,,United States,Seattle,Washington,e-learning,98,2019,http://www.linkedin.com/company/sales-impact-academy,https://facebook.com/SalesImpactAcademy/,https://twitter.com/we_are_sia,,100
adSalsa,http://www.adsalsa.com,adsalsa.com,+34 965 33 46 70,Spain,Alcoi,Valencian Community,marketing & advertising,280,2005,http://www.linkedin.com/company/adsalsa,https://facebook.com/adsalsa.es,https://twitter.com/adsalsa,,100
PEXLY,http://www.pexly.com,pexly.com,+31 75 808 0275,Netherlands,Zaandijk,North Holland,outsourcing/offshoring,130,2015,http://www.linkedin.com/company/pexly,https://www.facebook.com/Pexly-112138888038400/,https://twitter.com/Pexly_BPO,,100
REVA Global,http://www.revaglobal.com,revaglobal.com,+1 800-626-3236,United States,West Hartford,Connecticut,outsourcing/offshoring,450,,http://www.linkedin.com/company/reva-global-llc,http://www.facebook.com/trainedvirtualassistants,,,100
Datum Technologies Group,http://www.datumtg.com,datumtg.com,+1 678-740-0263,United States,Johns Creek,Georgia,information technology & services,180,2001,http://www.linkedin.com/company/datum-software,,,,100
America's Call Center,http://www.americascallcenter.us,americascallcenter.us,+1 904-224-2000,United States,Jacksonville,Florida,telecommunications,37,1987,http://www.linkedin.com/company/america's-call-center,,,,100
Global Contact Services (GCS),http://www.gcsagents.com,gcsagents.com,+1 704-647-9621,United States,Salisbury,North Carolina,outsourcing/offshoring,660,2001,http://www.linkedin.com/company/global-contact-services,https://facebook.com/GCSAgents/,https://twitter.com/GCSagents,,100
Veritech Inc.,http://www.veritech.ai,veritech.ai,+1 443-216-9050,United States,Dover,Delaware,information technology & services,51,2021,http://www.linkedin.com/company/veritechinc,,,,100
Kixie,http://www.kixie.com,kixie.com,+1 424-322-4174,United States,Santa Monica,California,information technology & services,82,2013,http://www.linkedin.com/company/kixie,https://www.facebook.com/kixieweb/,http://www.twitter.com/kixieweb,,100
Simetrix Solutions,http://www.simetrix-solutions.com,simetrix-solutions.com,+1 800-691-5084,United States,New York,New York,outsourcing/offshoring,230,2010,http://www.linkedin.com/company/simetrix-solutions,,,,100
Corestaff Services,http://www.corestaff.com,corestaff.com,+1 404-920-6100,United States,Atlanta,Georgia,staffing & recruiting,750,1993,http://www.linkedin.com/company/corestaff-services,https://facebook.com/Corestaff-Services-244680905716483/,https://twitter.com/corestaff_serv,,100
Neilson Financial Services,http://www.neilsonfs.com,neilsonfs.com,+44 844 990 4466,United Kingdom,,England,insurance,630,2012,http://www.linkedin.com/company/neilson-financial-services,https://facebook.com/neilsonfinancialservices,https://twitter.com/neilsonfsuk,,100
Neilson Financial Services,http://www.neilsonfs.com,neilsonfs.com,+44 844 990 4466,United Kingdom,,England,insurance,630,2012,http://www.linkedin.com/company/neilson-financial-services,https://facebook.com/neilsonfinancialservices,https://twitter.com/neilsonfsuk,,100
HiredSupport,http://www.hiredsupport.com,hiredsupport.com,+1 800-655-5891,United States,Rancho Cucamonga,California,outsourcing/offshoring,70,2016,http://www.linkedin.com/company/hiredsupport,,,,100
Salaria Sales Solutions,http://www.salariasales.com,salariasales.com,+1 703-638-8539,United States,Washington,District of Columbia,marketing & advertising,150,2019,http://www.linkedin.com/company/salaria-sales,https://www.facebook.com/salariasalessolutions,,,100
CtoC - Client to Client,http://www.ctoc.es,ctoc.es,,Spain,Sant Cugat del Valles,Catalonia,outsourcing/offshoring,53,2012,http://www.linkedin.com/company/client-to-client,,,,100
TELEMARKETING GOLDEN LINE S.L,http://www.goldenline.es,goldenline.es,,Spain,L'Hospitalet de Llobregat,Catalonia,telecommunications,43,1996,http://www.linkedin.com/company/telemarketing-golden-line-sl,https://www.facebook.com/tmkgoldenline,https://twitter.com/TmkGoldenLine,,100
Lead Generation World,http://www.leadgenerationworld.com,leadgenerationworld.com,+1 800-240-3349,United States,San Diego,California,marketing & advertising,67,2019,http://www.linkedin.com/company/lead-generation-world,,https://twitter.com/LeadGenerationW,,100
Stream Mobile,http://www.streammobile.es,streammobile.es,+34 942 09 30 76,Spain,Cartes,Cantabria,telecommunications,180,2010,http://www.linkedin.com/company/streammobilees,https://www.facebook.com/streammobileES/,,,100
Newegg Call Center Services,http://www.neweggbridge.com,neweggbridge.com,,United States,City of Industry,California,outsourcing/offshoring,12,2020,http://www.linkedin.com/company/newegg-bridge,,,,100
The HT Group,http://www.thehtgroup.com,thehtgroup.com,+1 512-533-9700,United States,Austin,Texas,staffing & recruiting,220,2001,http://www.linkedin.com/company/the-ht-group,https://facebook.com/TheHTGroup,https://twitter.com/TheHTGroup,,100
Grant Cardone Enterprises,http://www.grantcardone.com,grantcardone.com,+1 310-777-0255,United States,Aventura,Florida,professional training & coaching,410,1989,http://www.linkedin.com/company/grant-cardone-enterprises,https://www.facebook.com/grantcardonefan,,,100
Schulte Hospitality Group,http://www.schultehotels.com,schultehotels.com,+1 502-489-3737,United States,Louisville,Kentucky,hospitality,810,1999,http://www.linkedin.com/company/schulte-hospitality-group,https://www.facebook.com/SchulteHospitalityGroup,,,100
Equity Staffing Group,http://www.equitystaffing.com,equitystaffing.com,+1 303-459-2525,United States,Englewood,Colorado,staffing & recruiting,120,2009,http://www.linkedin.com/company/equity-staffing-group,https://www.facebook.com/Equity-Staffing-1723582981262983/,http://www.twitter.com/equitystaffing,,100
Limousine Call Center,http://www.limousinecallcenter.com,limousinecallcenter.com,+1 800-215-6102,United States,Los Angeles,California,consumer services,11,2014,http://www.linkedin.com/company/limousine-call-center,https://www.facebook.com/143256419088721,,,100
Pindrop,http://www.pindrop.com,pindrop.com,+1 404-351-5280,United States,Atlanta,Georgia,computer & network security,310,2011,http://www.linkedin.com/company/pindrop,https://www.facebook.com/PindropSec/,http://www.twitter.com/pindrop,,100
Absys,http://www.absys.fr,absys.fr,+33 4 74 64 56 10,France,Thizy-les-Bourgs,Auvergne-Rhone-Alpes,telecommunications,56,1994,http://www.linkedin.com/company/absys,https://www.facebook.com/Absys69/,https://twitter.com/absys_company,,100
Easy Outsource,http://www.easy-outsource.com,easy-outsource.com,,Canada,Toronto,Ontario,outsourcing/offshoring,35,2020,http://www.linkedin.com/company/easyoutsource,https://www.facebook.com/HelloEasyOutsource,,,100
PrideStaff,http://www.pridestaff.com,pridestaff.com,+1 800-774-3316,United States,Fresno,California,staffing & recruiting,700,1978,http://www.linkedin.com/company/pridestaff,https://facebook.com/PrideStaff,https://twitter.com/PrideStaff,,100
EIMS,http://www.eims.biz,eims.biz,+44 12 0255 5533,United Kingdom,Bournemouth,England,marketing & advertising,560,1996,http://www.linkedin.com/company/eims,https://facebook.com/eims-240456016008731,https://twitter.com/EIMSltd,,100
Telereach Corporate,http://www.telereach.com,telereach.com,+1 713-956-8700,United States,Houston,Texas,marketing & advertising,43,1996,http://www.linkedin.com/company/telereach-corporate,https://www.facebook.com/Telereach-Corporate-152713064771192/,,,100
Dawson,http://www.dawsoncareers.com,dawsoncareers.com,+1 614-255-1400,United States,Columbus,Ohio,staffing & recruiting,380,1946,http://www.linkedin.com/company/dawsonemploymentexperts,https://facebook.com/dawsoncolumbus,https://twitter.com/DawsonColumbus,,100
Profolio,http://www.profolio.work,profolio.work,+20 100 213 5799,United States,Austin,Texas,human resources,28,2015,http://www.linkedin.com/company/profolio-ops,,,,100
The Call Gurus,http://www.thecallgurus.com,thecallgurus.com,+1 888-510-8140,United States,Phoenix,Arizona,outsourcing/offshoring,130,2017,http://www.linkedin.com/company/the-call-gurus,https://www.facebook.com/thecallgurusmx/,,,100
Inkeros,http://www.inkeros.com,inkeros.com,+1 604-800-2026,Canada,Calgary,Alberta,marketing & advertising,180,2001,http://www.linkedin.com/company/inkeros,,,,100
"TeleContact Resource Services, a division of eContactLive, Inc.",http://www.trstelemarketing.com,trstelemarketing.com,+1 800-551-0567,United States,Riverbank,California,marketing & advertising,56,1994,http://www.linkedin.com/company/econtactlive-inc-,https://www.facebook.com/TeleContactResourceServices,https://twitter.com/TRScallcenter,,100
Global Response,http://www.globalresponse.com,globalresponse.com,+1 800-537-8000,United States,Margate,Florida,outsourcing/offshoring,550,1974,http://www.linkedin.com/company/global-response,https://facebook.com/GlobalResponse/,https://twitter.com/brandcarepeople,,100
SmartTalent Staffing and Recruiting,http://www.smarttalentstaffing.com,smarttalentstaffing.com,+1 425-827-5111,United States,Kirkland,Washington,staffing & recruiting,510,2001,http://www.linkedin.com/company/smarttalentstaffing,https://www.facebook.com/SmartTalent/,https://twitter.com/SmartTalent,,100
Frontline Source Group - Nationwide Staffing & Executive Search,http://www.frontlinesourcegroup.com,frontlinesourcegroup.com,+1 214-760-7700,United States,Dallas,Texas,staffing & recruiting,200,2004,http://www.linkedin.com/company/frontline-source-group,https://www.facebook.com/frontlinesourcegoup/,https://twitter.com/frtline,,100
Skit.ai,http://www.skit.ai,skit.ai,+91 89795 64068,United States,New York,New York,information technology & services,170,2016,http://www.linkedin.com/company/skit-ai,https://facebook.com/VernacularAI/,https://twitter.com/VernacularAI,,100
Product Development Corporation,http://www.teampdc.com,teampdc.com,+1 831-333-1100,United States,Monterey,California,logistics & supply chain,250,,http://www.linkedin.com/company/product-development-corporation,,,,100
"xtDirect, LLC",http://www.xtdirect.com,xtdirect.com,+1 402-502-0563,United States,Omaha,Nebraska,outsourcing/offshoring,23,2001,http://www.linkedin.com/company/xtdirect-llc,https://facebook.com/xtdirect-llc-140373729003,https://twitter.com/xtdirect,,100
YoungCapital,http://www.youngcapital.nl,youngcapital.nl,+31 20 653 1544,Netherlands,Hoofddorp,North Holland,human resources,870,2000,http://www.linkedin.com/company/youngcapital,https://www.facebook.com/YoungCapital,https://twitter.com/YoungCapital_NL,,100
SEREM Consultoría Empresarial,http://www.serem.com,serem.com,+34 915 06 17 31,Spain,Madrid,Community of Madrid,information technology & services,240,1995,http://www.linkedin.com/company/serem-consultoria-empresarial,https://facebook.com/pages/serem-consultoria/129793443741160,https://twitter.com/serem_it,,100
AnswerNet,http://www.answernet.com,answernet.com,+1 800-411-5777,United States,Horsham,Pennsylvania,management consulting,960,1998,http://www.linkedin.com/company/answernet,https://www.facebook.com/AnswerNet/events/,https://twitter.com/AnswerNet,,100
Intelemark,http://www.intelemark.com,intelemark.com,+1 602-943-7111,United States,Scottsdale,Arizona,marketing & advertising,33,1996,http://www.linkedin.com/company/intelemarkleadgen,https://www.facebook.com/IntelemarkLLC,https://twitter.com/intelemark,,100
Sales Feed,http://www.salesfeedmedia.com,salesfeedmedia.com,,United States,Reedley,California,media production,160,2021,http://www.linkedin.com/company/sales-feed-media,,https://twitter.com/sales_feed,,100
Magnify,http://www.magnifyyourtalent.com,magnifyyourtalent.com,+1 804-234-9122,United States,Richmond,Virginia,staffing & recruiting,50,2014,http://www.linkedin.com/company/magnifyyourtalent,https://www.facebook.com/magnifyyourtalent,,,100
LanguageBridge Solutions,http://www.languagebridgesolutions.com,languagebridgesolutions.com,,United States,Winter Garden,Florida,translation & localization,130,2023,http://www.linkedin.com/company/languagebridge-solutions,,,,100
Calltend Inc.,http://www.calltend.com,calltend.com,,United States,Los Angeles,California,real estate,360,2017,http://www.linkedin.com/company/calltend-inc,http://www.facebook.com/calltend,https://twitter.com/calltend,,100
ROCS Grad Staffing,http://www.rocsstaffing.com,rocsstaffing.com,+1 703-579-6677,United States,Reston,Virginia,staffing & recruiting,52,2003,http://www.linkedin.com/company/rocs-grad-staffing,https://www.facebook.com/rocsjobs,https://twitter.com/rocsjobs,,100
Punch!—The Smart B2B Sales Agency,http://www.punchb2b.com,punchb2b.com,+44 148 377 8899,United Kingdom,London,England,marketing & advertising,98,2014,http://www.linkedin.com/company/punchb2b,https://facebook.com/punchABM/,https://twitter.com/punchabm,,100
Pro Call Center Inc,http://www.procallcenterinc.com,procallcenterinc.com,,United States,Fife,Washington,telecommunications,16,1988,http://www.linkedin.com/company/pro-call-center-inc,,,,100
Calabrio,http://www.calabrio.com,calabrio.com,+1 763-592-4600,United States,Minneapolis,Minnesota,information technology & services,580,2007,http://www.linkedin.com/company/calabrio,http://www.facebook.com/pages/Calabrio/312159772174664,http://www.twitter.com/Calabrio,,100
Sanas,http://www.sanas.ai,sanas.ai,+1 650-733-3411,United States,Palo Alto,California,information technology & services,300,2020,http://www.linkedin.com/company/sanastech,,,,100
"247 Virtual Solution, LLC",http://www.247virtualsolution.com,247virtualsolution.com,+1 734-252-6029,United States,New York,New York,outsourcing/offshoring,36,2016,http://www.linkedin.com/company/247virtualsolutionllc,,,,100
MARS TechSol,http://www.marstechsol.com,marstechsol.com,+91 80073 16998,United Kingdom,London,England,marketing & advertising,87,2016,http://www.linkedin.com/company/mars-techsol,https://facebook.com/marstechsol,,,100
Telivoz,http://www.telivoz.com,telivoz.com,,United States,Sheridan,Wyoming,telecommunications,22,,http://www.linkedin.com/company/telivoz,,,,100
PEG Staffing & Recruiting,http://www.pegstaff.com,pegstaff.com,+1 314-275-2000,United States,St. Louis,Missouri,staffing & recruiting,99,1984,http://www.linkedin.com/company/workwithpeg,https://www.facebook.com/WorkWithPEG,https://twitter.com/karenspann_peg,,100
Influx,http://www.influx.com,influx.com,,Australia,Melbourne,Victoria,information technology & services,960,2013,http://www.linkedin.com/company/influx-inc-,https://www.facebook.com/influxdotcom,https://twitter.com/influxdotcom,,100
Clientis,http://www.clientis.ca,clientis.ca,+1 514-832-0811,Canada,Longueuil,Quebec,international trade & development,17,2001,http://www.linkedin.com/company/clientis,https://www.facebook.com/ClientisQuebec/,,,100
Vcare Corporation,http://www.vcarecorporation.com,vcarecorporation.com,+1 917-470-9716,United States,Cherry Hill,New Jersey,outsourcing/offshoring,250,2006,http://www.linkedin.com/company/vcare-corporation,https://www.facebook.com/vcarecorp,https://twitter.com/vcarecorp,,100
inulti,http://www.inulti.com,inulti.com,+1 443-201-7630,United States,Coral Springs,Florida,marketing & advertising,43,2016,http://www.linkedin.com/company/inulti,https://www.facebook.com/inulti/,,,100
SaaS Labs,http://www.saaslabs.co,saaslabs.co,+1 650-843-0988,United States,Palo Alto,California,information technology & services,370,2016,http://www.linkedin.com/company/saas-labs,https://facebook.com/saaslabsindia/,https://twitter.com/saas_labs,,100
UnboundB2B,http://www.unboundb2b.com,unboundb2b.com,+1 650-446-4110,United States,San Jose,California,marketing & advertising,420,2017,http://www.linkedin.com/company/unboundmarketing,https://www.facebook.com/Unbound-B2B-181332725907075/,https://twitter.com/UnboundB2B,,100
Virtual Worker Now,http://www.virtualworkernow.com,virtualworkernow.com,+1 888-433-3043,Canada,Montreal,Quebec,outsourcing/offshoring,220,,http://www.linkedin.com/company/virtualworkernow,,https://twitter.com/virtualworkernw,,100
"4Consulting, Inc.",http://www.4ci-usa.com,4ci-usa.com,+1 717-214-7308,United States,Richardson,Texas,staffing & recruiting,120,2000,http://www.linkedin.com/company/fourci,https://facebook.com/4-Consulting-Inc-211791685673122/,,,100
CanadaDirect,http://www.canadadirect.ca,canadadirect.ca,+1 613-564-6565,Canada,Dorval,Quebec,marketing & advertising,34,1987,http://www.linkedin.com/company/canadadirect,https://facebook.com/onpath/,https://twitter.com/OnPath,,100
Group Elite,http://www.groupelite.com,groupelite.com,+1 888-866-0337,Canada,Laval,Quebec,information technology & services,48,2012,http://www.linkedin.com/company/group-elite-communications,,https://twitter.com/groupelitecomm,,100
CLIENTELA,http://www.clientela.fr,clientela.fr,+33 2 41 34 05 44,France,Beaucouze,Pays de la Loire,telecommunications,64,2002,http://www.linkedin.com/company/clientela49,https://www.facebook.com/clientela49,https://twitter.com/clientela49,,100
The Smith Family Agency,http://www.thesmithfamilyagency.com,thesmithfamilyagency.com,,United States,Kansas City,Missouri,insurance,22,2019,http://www.linkedin.com/company/the-smith-family-agency,,,,100
Conectividad Laboral,http://www.conectividadlaboral.com,conectividadlaboral.com,,United States,Costa Mesa,California,human resources,15,2006,http://www.linkedin.com/company/conectividad-laboral,,,,100
Call Center Systems,http://www.ccs-live.com,ccs-live.com,+1 859-838-8024,United States,Winchester,Kentucky,outsourcing/offshoring,11,2015,http://www.linkedin.com/company/call-center-systems,https://www.facebook.com/387404735236728,https://www.twitter.com/ccs__live,,100
Associated Community Services,http://www.associatedcommunityservicesblog.com,associatedcommunityservicesblog.com,+1 248-352-2600,United States,Southfield,Michigan,telecommunications,170,1999,http://www.linkedin.com/company/associated-community-service,,,,100
"EmpireOne BPO Solutions, Inc.",http://www.empireonecontactcenter.com,empireonecontactcenter.com,+1 800-233-0843,Canada,Toronto,Ontario,outsourcing/offshoring,170,2009,http://www.linkedin.com/company/empireonebposolutions,https://www.facebook.com/profile.php,,,100
TRG - The Resource Group,http://www.trgworld.com,trgworld.com,+1 202-289-9898,United States,Washington,District of Columbia,venture capital & private equity,570,2002,http://www.linkedin.com/company/trg-world,https://facebook.com/theresourcegroup/,,,100
Denise Amber Lee Foundation,http://www.deniseamberlee.org,deniseamberlee.org,,United States,Venice,Florida,public safety,22,2008,http://www.linkedin.com/company/denise-amber-lee-foundation,https://www.facebook.com/deniseamberlee,https://twitter.com/DALFoundation,,100
PubNub,http://www.pubnub.com,pubnub.com,+1 415-223-7552,United States,San Francisco,California,information technology & services,120,2010,http://www.linkedin.com/company/pubnub,http://www.facebook.com/PubNub,http://twitter.com/pubnub,,100
TeleDirect Call Centers,http://www.teledirect.com,teledirect.com,+1 800-776-1081,United States,Sacramento,California,telecommunications,460,1961,http://www.linkedin.com/company/teledirect-call-centers,https://www.facebook.com/teledirect,https://twitter.com/Tele_Direct,,100
HotFoot Recruiters,http://www.hotfootrecruiters.com,hotfootrecruiters.com,+1 480-633-3392,United States,Phoenix,Arizona,staffing & recruiting,20,2009,http://www.linkedin.com/company/hotfoot-recruiters,https://www.facebook.com/HotFootrecruiting,https://twitter.com/hotfootrecruits,,100
